isin,date
COB19CD0TE68,2018Q4
COB19CD0SBH7,2018Q4
COB19CD0VJR3,2018Q4
COB58CD90553,2018Q4
COB07CD08MP9,2018Q4
COB13CD08JS7,2018Q4
COB51CD01AP7,2018Q4
COB68CD04Q01,2018Q4
COJ05CD02XK7,2018Q4
COB64CD07AI2,2018Q4
COB06CD1ECR7,2018Q4
COJ05CD03MB7,2018Q4
COB64CD07KS0,2018Q4
COB68CD07R07,2018Q4
COB07CD0A8G2,2018Q4
COB51CD01DP1,2018Q4
COB19CD17N66,2018Q4
COB51CD01RN6,2018Q4
COL06CD17794,2018Q4
COB01CD08GD0,2018Q4
COJ05CD03Q26,2018Q4
COB01CD088G6,2018Q4
COB51CD01H04,2018Q4
COJ05CD03HZ6,2018Q4
COB02CD24857,2018Q4
COB01CD07DH0,2018Q4
COB02CD24436,2018Q4
COB01CD07WZ2,2018Q4
COB52CD53174,2018Q4
COB01CD07SN6,2018Q4
COB06CD1C6Q4,2018Q4
COB06CD1C6J9,2018Q4
COB52CD52358,2018Q4
COB52CD52317,2018Q4
COJ05CD031G4,2018Q4
COB02CD23230,2018Q4
COB06CD1B559,2018Q4
COB02CD23156,2018Q4
COJ70CD63236,2018Q4
COJ05CD02YP4,2018Q4
COB19CD0VIC7,2018Q4
COB06CD18OQ4,2018Q4
COL06CD15814,2018Q4
COB56CD13BF0,2018Q4
COB51CD02EP7,2018Q4
COB56CD19KI2,2018Q4
COB56CD18WP4,2018Q4
COB51CD03ID2,2018Q4
COB51CD03P28,2018Q4
COB51CD02FV2,2018Q4
COB51CD02FB4,2018Q4
COB51CD048O3,2018Q4
COB51CD02U63,2018Q4
COB07CD09E20,2018Q4
COB07CD09BN5,2018Q4
COB23CD49991,2018Q4
COJ12CD0PZO7,2018Q4
COB07CD07VA4,2018Q4
COB07CD07V88,2018Q4
COB02CD25623,2018Q4
COB06CD1ECS5,2018Q4
COE16CP00012,2018Q4
COB19CD0VLE7,2018Q4
COL06CD16994,2018Q4
COB07CD07VO5,2018Q4
COB51CD048U0,2018Q4
COB02CD22687,2018Q4
COB12CD01IZ1,2018Q4
COB01CD07P25,2018Q4
COB01CD085C1,2018Q4
COL06CD13470,2018Q4
COB13CD14483,2018Q4
COB51CD043K2,2018Q4
COB51CD01OA0,2018Q4
COB19CD134X3,2018Q4
COB07CD09Q34,2018Q4
COB23CD49678,2018Q4
COB52CD54909,2018Q4
COB02CD19923,2018Q4
COB01CD060F7,2018Q4
COB19CD0VVI7,2018Q4
COB51CD04DI0,2018Q4
COB01CD08G25,2018Q4
COB31CD07109,2018Q4
COB51CD030Y0,2018Q4
COB07CD09XE8,2018Q4
COB19CD14LP4,2018Q4
COB51CD02TT7,2018Q4
COB13CD85269,2018Q4
COB19CD0RKN8,2018Q4
COB19CD0V6W3,2018Q4
COL06CD15582,2018Q4
COB51CD02QO4,2018Q4
COL06CD15269,2018Q4
COL06CD16713,2018Q4
COB19CD0WUT4,2018Q4
COB51CD039M6,2018Q4
COB07CD076Q4,2018Q4
COL06CD15822,2018Q4
COB23CD45767,2018Q4
COB13CD026X7,2018Q4
COB31CD07042,2018Q4
COB19CD0YR25,2018Q4
COB19CD0PV38,2018Q4
COB02CD23867,2018Q4
COB02CD22802,2018Q4
COB51CD02G46,2018Q4
COB51CD01GG3,2018Q4
COB19CD11ON9,2018Q4
COL06CD17687,2018Q4
COB02CD09114,2018Q4
COB01CD05M20,2018Q4
COB01CD05I91,2018Q4
COB01CD07JF1,2018Q4
COB19CD0UA36,2018Q4
COB02CD25490,2018Q4
COB52CD49123,2018Q4
COB51CD033K3,2018Q4
COB02CD24279,2018Q4
COB19CD0W7W0,2018Q4
COB19CD11A18,2018Q4
COB51CD03DJ0,2018Q4
COB31CD06606,2018Q4
COB09CD23706,2018Q4
COB51CD02E71,2018Q4
COB02CD25342,2018Q4
COB51CD03MW4,2018Q4
COB13CD56856,2018Q4
COB13CD01KE0,2018Q4
COB02CD20020,2018Q4
COB19CD0OUH6,2018Q4
COB51CD027I9,2018Q4
COB51CD03KL1,2018Q4
COB51CD03RB7,2018Q4
COL06CD12696,2018Q4
COB02CD22752,2018Q4
COB01CD065S9,2018Q4
COB51CD044O2,2018Q4
COB19CD0OUG8,2018Q4
COB07CD05V72,2018Q4
COB01CD04CQ0,2018Q4
COB01CD062H9,2018Q4
COB02CD25573,2018Q4
